DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2004,3.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2005,3.2,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2006,4.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2007,3.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2008,2.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2009,-3.3,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2010,3.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2011,3.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2012,0.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2013,-0.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2014,0.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2015,1.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2016,1.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2017,0.3,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2018,1.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2019,0.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,France,2002,1.9,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,France,2003,1.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,France,2004,2.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,France,2005,2.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,France,2006,2.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,France,2007,2.7,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,France,2008,0.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,France,2009,0.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,France,2010,1.9,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,France,2011,0.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,France,2012,-0.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,France,2013,0.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,France,2014,1.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,France,2015,1.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,France,2016,1.7,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,France,2017,1.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,France,2018,1.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,France,2019,1.7,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Ireland,2002,3.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Ireland,2003,2.7,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Ireland,2004,3.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Ireland,2005,7.2,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Ireland,2006,6.3,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Ireland,2007,6.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Ireland,2008,0.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Ireland,2009,-5.4,,
