DATAFLOW,LAST UPDATE,freq,unit,sector,cofog99,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Spain,2015,66484.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Spain,2016,67713.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Spain,2017,69298.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Spain,2018,72146.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Spain,2019,75917.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Finland,2000,7801.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Finland,2001,8454.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Finland,2002,9189.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Finland,2003,9733.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Finland,2004,10284.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Finland,2005,10965.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Finland,2006,11530.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Finland,2007,12093.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Finland,2008,13014.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Finland,2009,13461.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Finland,2010,13788.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Finland,2011,14578.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Finland,2012,15502.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Finland,2013,15995.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Finland,2014,16163.0,,
