DATAFLOW,LAST UPDATE,FREQ,REF_AREA,TRANSFORMATION,AGG_METHOD,UNIT,REFERENCE,ITEM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,COMMENT,UNIT_MULT
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2012,-0.75465,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2013,-1.27311,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2014,-0.51374,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2015,-0.2267,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2016,-0.39221,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2017,-0.23957,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2018,0.12971,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Gap between actual and potential gross domestic product at 2020 reference levels,2019,0.88438,A,F,(Percentage of potential gross domestic product at constant prices),0
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Potential gross domestic product at 2020 reference levels,2000,355.09242,A,F,Mrd EURO-BEF,9
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Potential gross domestic product at 2020 reference levels,2001,363.96232,A,F,Mrd EURO-BEF,9
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Potential gross domestic product at 2020 reference levels,2002,372.33211,A,F,Mrd EURO-BEF,9
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Potential gross domestic product at 2020 reference levels,2003,380.2557,A,F,Mrd EURO-BEF,9
