DATAFLOW,LAST UPDATE,freq,unit,direct,na_item,sector,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Germany,2015,2315972,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Germany,2016,2390508,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Germany,2017,2491933,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Germany,2018,2598370,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Germany,2019,2671923,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Greece,2001,110204,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Greece,2002,121703,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Greece,2003,131233,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Greece,2004,140511,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Greece,2005,143390,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Greece,2006,155116,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Greece,2007,165887,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Greece,2008,175906,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Greece,2009,174868,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Greece,2010,158118,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Greece,2011,144855,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Greece,2012,131517,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Greece,2013,123571,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Greece,2014,119287,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Greece,2015,120052,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Greece,2016,119578,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Greece,2017,122871,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Greece,2018,122658,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Greece,2019,130461,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Spain,2001,512983,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Spain,2002,542390,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Spain,2003,578748,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Spain,2004,616547,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Spain,2005,660159,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Spain,2006,709160,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Spain,2007,754832,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Spain,2008,778195,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Spain,2009,742660,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Spain,2010,743450,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Spain,2011,745501,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Spain,2012,700001,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Spain,2013,693233,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Spain,2014,700424,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Spain,2015,729568,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Spain,2016,750809,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Spain,2017,781792,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Spain,2018,809108,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Spain,2019,850742,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Finland,2001,89298,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Finland,2002,91719,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Finland,2003,94135,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Finland,2004,98662,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Finland,2005,102213,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Finland,2006,107200,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Finland,2007,114642,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Finland,2008,120905,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Finland,2009,118819,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Finland,2010,121948,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Finland,2011,127736,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Finland,2012,131060,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Finland,2013,133125,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Finland,2014,134431,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Finland,2015,136360,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Finland,2016,139100,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Finland,2017,141041,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Finland,2018,145960,,
